Background	Environment	Strain	Doubling_time	Rel.fitness.DT	EOG	Rel.Fitness.EOG	Comp.mean	Rel.Fitness.Comp
SSP272	Beer	BB1003	93.44890908	0.904231886	2.438365545	1.457967086	1.893457302	2.092111079
SSP272	Beer	BB1004	97.26245281	0.868778042	1.691744544	1.011541468	0.956934343	1.057331971
SSP272	Beer	BB1005	84.03716082	1.005501405	1.789354573	1.06990524	1.018332141	1.125171375
SSP272	Beer	BB1006	93.11879701	0.907437445	1.694582035	1.013238083	1.028430028	1.13632869
SSP272	Beer	BB1007	82.05130189	1.029837203	1.619963879	0.968621797	1.037090259	1.145897517
SSP272	Beer	BB1008	89.82086987	0.940755566	1.612420572	0.964111442	1.031285792	1.13948407
SSP272	Cana	BC1003	63.26366643	1.218182666	3.627016698	1.00111934	0.861936107	0.779688882
SSP272	Cana	BC1004	69.06566071	1.115846877	3.820770154	1.054598645	0.861663422	0.779442218
SSP272	Cana	BC1005	70.17898552	1.098144997	3.75836503	1.037373752	0.944287898	0.854182542
SSP272	Cana	BC1006	66.332721	1.1618203	3.531135799	0.974654554	0.881394454	0.797290485
SSP272	Cana	BC1007	72.14298003	1.068249493	3.728732983	1.029194794	0.966587834	0.874354585
SSP272	Cana	BC1008	67.77969809	1.137017484	3.459410435	0.954857113	0.70866657	0.641044552
SSP272	NaCl	BN1001	109.8049221	1.796479514	2.48590739	1.145214203	5.4550919	4.401877532
SSP272	NaCl	BN1002	128.0170832	1.540906013	2.405109859	1.107992189	3.557222062	2.870429345
SSP272	NaCl	BN1003	116.5605136	1.692359506	2.640548976	1.216454886	5.146281411	4.152689071
SSP272	NaCl	BN1004	127.2019546	1.550780361	2.708220203	1.247629841	3.75801559	3.032455675
SSP272	NaCl	BN1005	116.7423698	1.689723222	2.530239844	1.165637392	2.471408302	1.994253603
SSP272	NaCl	BN1006	129.5635044	1.522514338	2.407873632	1.109265411	2.809260773	2.266876911
SSP272	NaCl	BN1007	121.81265	1.619390869	2.760491002	1.271710087	4.231219006	3.414297727
SSP272	NaCl	BN1008	124.0885132	1.589690198	2.647216593	1.219526541	3.000328184	2.421054945
SSP272	YPD	BY1001	56.11084286	1.063129968	3.659591114	1.041841887	0.818186024	0.864528769
SSP272	YPD	BY1002	79.82710123	0.747279027	3.465807534	0.986674016	1.274771683	1.346975823
SSP272	YPD	BY1003	59.58657249	1.001116796	3.507477408	0.998536931	1.33575643	1.411414798
SSP272	YPD	BY1004	58.40425891	1.021383024	3.665495035	1.043522663	1.482780084	1.566765995
SSP272	YPD	BY1005	63.55954622	0.938539088	3.70023836	1.053413673	1.15236712	1.217638163
SSP272	YPD	BY1006	65.04469169	0.917109714	3.777354661	1.075367762	1.148511376	1.213564026
SSP272	YPD	BY1007	62.66192803	0.951983452	3.414228714	0.971990142	1.779896769	1.880711619
SSP272	YPD	BY1008	61.18951143	0.974891238	3.56598941	1.0151946	1.506004172	1.591305515
SP309	Beer	AB1001	97.69311949	0.873542821	2.325098497	1.082547993	1.209219856	0.796343326
SP309	Beer	AB1002	98.28861153	0.868250369	2.299785419	1.070762418	1.105719568	0.72818222
SP309	Beer	AB1003	84.58716159	1.008889784	2.077350681	0.967198513	1.23750968	0.814973861
SP309	Beer	AB1004	87.57927154	0.974421478	2.084975471	0.970748557	1.070542995	0.70501635
SP309	Beer	AB1005	88.76074364	0.961451197	1.996939755	0.929759804	1.067943718	0.703304571
SP309	Beer	AB1006	90.32777817	0.944771641	2.810095963	1.308359086	1.502926954	0.989766951
SP309	Beer	AB1007	82.77615858	1.030962595	2.058296222	0.958326903	1.063841495	0.700603013
SP309	Beer	AB1008	82.60179558	1.033138839	2.010056673	0.93586694	1.365306376	0.8991356
SP309	Cana	AC1001	67.32990497	1.177681246	3.587996808	1.051518116	0.741857218	0.661556504
SP309	Cana	AC1002	65.24408879	1.215331042	3.680454222	1.078614195	0.678699217	0.605234903
SP309	Cana	AC1003	70.00910731	1.132612162	3.531342807	1.034914782	0.599884045	0.534950907
SP309	Cana	AC1004	72.71744999	1.090428314	3.69919254	1.08410575	0.701484853	0.625554158
SP309	Cana	AC1005	75.1440769	1.055215123	3.720107146	1.0902351	0.867889404	0.773946612
SP309	Cana	AC1006	75.82215721	1.045778296	3.349678671	0.98167529	0.708278245	0.631612213
SP309	Cana	AC1007	72.61807199	1.091920568	3.59530112	1.053658758	0.823734459	0.734571122
SP309	Cana	AC1008	81.18803324	0.976660762	3.407008184	0.998476593	1.092299828	0.974066219
SP309	NaCl	AN1001	120.6454992	1.254054949	2.482752402	1.113229119	3.612466205	3.696723141
SP309	NaCl	AN1002	120.8729336	1.25169532	2.492121731	1.117430187	4.429806344	4.53312687
SP309	NaCl	AN1003	104.9261005	1.441929936	2.623458217	1.176319507	3.051397142	3.122567738
SP309	NaCl	AN1004	116.8442915	1.294852178	2.482475851	1.113105118	4.050717971	4.145196663
SP309	NaCl	AN1005	134.5139824	1.12476103	2.80667679	1.25847198	6.367462742	6.515977046
SP309	NaCl	AN1006	103.9567486	1.455375311	2.664654599	1.194791349	6.10537507	6.247776457
SP309	NaCl	AN1007	117.7121918	1.285305141	2.865018275	1.284631431	4.774861994	4.886230577
SP309	NaCl	AN1008	113.1809017	1.336763386	2.871918796	1.287725522	4.100676932	4.196320864
SP309	YPD	AY1001	70.78965459	0.836007549	3.288803969	0.957895337	0.906616667	1.034103771
SP309	YPD	AY1002	77.31742119	0.765424981	3.640261294	1.060260615	0.665982647	0.759632148
SP309	YPD	AY1003	71.97057412	0.822290031	3.307909289	0.963459943	1.420245895	1.619958786
SP309	YPD	AY1004	72.56311514	0.815575317	3.37306145	0.982436127	1.05607013	1.20457316
SP309	YPD	AY1005	78.49193542	0.753971543	3.535117312	1.029636433	1.106187961	1.261738486
SP309	YPD	AY1006	70.43001707	0.840276463	3.357943709	0.978032942	1.077304341	1.228793294
SP309	YPD	AY1007	64.44924776	0.918252543	3.422131764	0.996728321	2.275436674	2.595405236
SP309	YPD	AY1008	83.02549234	0.712801382	3.281016489	0.95562716	1.249664492	1.425390476
SSP272	Beer	BB1001	NA	NA	NA	NA	1.015186156	1.121695326
SSP272	Beer	BB1002	NA	NA	NA	NA	1.696236409	1.874198579
SSP272	Cana	BC1001	NA	NA	NA	NA	0.764981504	0.691985832
SSP272	Cana	BC1002	NA	NA	NA	NA	0.948837171	0.858297717
SSP272	Wine	BW1001	NA	NA	NA	NA	1.092664448	0.822039943
SSP272	Wine	BW1002	NA	NA	NA	NA	0.88930753	0.669049234
SSP272	Wine	BW1003	NA	NA	NA	NA	1.312503484	0.98743058
SSP272	Wine	BW1004	NA	NA	NA	NA	0.766379804	0.576567501
SSP272	Wine	BW1005	NA	NA	NA	NA	1.183913519	0.890688997
SSP272	Wine	BW1006	NA	NA	NA	NA	0.979900502	0.737204688
SSP272	Wine	BW1007	NA	NA	NA	NA	0.943546927	0.709854945
SSP272	Wine	BW1008	NA	NA	NA	NA	0.735659003	0.553455442
SP309	Wine	AW1001	NA	NA	NA	NA	0.393068959	1.057950664
SP309	Wine	AW1002	NA	NA	NA	NA	0.395516786	1.064539026
SP309	Wine	AW1003	NA	NA	NA	NA	0.399048248	1.074044005
SP309	Wine	AW1004	NA	NA	NA	NA	0.40755812	1.096948444
SP309	Wine	AW1005	NA	NA	NA	NA	0.41068369	1.105360962
SP309	Wine	AW1006	NA	NA	NA	NA	0.338985838	0.912385177
