Strain	Rate
309	1.00718963
309	1.006858529
309	1.026106053
309	0.967006471
309	0.968455786
309	1.024383531
272	1.294662273
272	1.329675648
272	1.30743351
272	1.081975718
272	1.232401339
272	1.279923172
272	1.266858009
272	1.220066694
24	0.33143647
24	0.319476638
24	0.305699714
24	0.360913898
24	0.332806289
24	0.2818545
24	0.314584326
24	0.39685731
253	1.114346322
253	0.960232888
253	1.07708566
253	1.350588712
253	1.021877788
253	1.014494662
253	1.057426709
264	0.704601402
264	0.748783331
264	0.715325413
264	0.992000694
264	0.687786691
264	0.735520836
264	0.75855474
Clinical-cr-HOMO	1.481380664
Clinical-cr-HOMO	1.279753109
Clinical-cr-HOMO	1.100338091
Clinical-cr-HOMO	1.163738376
Clinical-cr-HOMO	1.358695961
Clinical-cr-HOMO	1.248780098
China-cr-HOMO	0.602324469
China-cr-HOMO	0.904034515
China-cr-HOMO	0.658013568
China-cr-HOMO	0.764139125
China-cr-HOMO	0.570000575
